CARNAME,ID,Make,Model,Body color,Interior color,Interior material,Body,Doors,Seats,Fuel,Transmission,Drive type,Power(kW),CO2 emissions(g/km),Emission class,Mileage(km),First registration,Condition,Consumption(l/100km or kWh/100km),Price(EUR),Previous owners,Engine capacity(ccm),Tags
citroen c4-cactus,61184810,Citroen,C4 Cactus,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,81,105,Euro 6,57377,01/12/2019,Used,4.6,15399,0,1199,Keyless ignition; Traffic sign recognition; Rear parking camera; Automatic A/C; Automatic lights; Rain sensor; Lane assist; Hill-start assist; Front collision warning system; Autom. dimming side mirros
mercedes-benz s-680,61184797,Mercedes-Benz,S 680,Black,Beige interior,Full leather interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x4,450,0,No emission class,3012,01/08/2023,Used,5.5,296349,0,5980,Driver's seat with massage function; Ventilated front seats; Heated rear seats; Air suspension; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control
bmw x1,61184791,BMW,X1,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x2,110,135,Euro 6,30834,01/05/2022,Used,5.1,39799,0,1995,LED headlights; Electric adjustable front seats; Heated front seats; Head-up display; Apple CarPlay; Automatic multi-zone A/C; Panoramic roof; Sport front seats; Rear parking camera; Induction charging for smartphones
ssangyong korando,61184794,SsangYong,Korando,White,Grey interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,120,158,Euro 6d-TEMP,10,01/12/2023,New,7.7,24899,1,1497,LED headlights; Apple CarPlay; Android auto; Traffic sign recognition; Bluetooth; Automatic 2-zones air conditioning; Adaptive lighting; High beam assist; Rain sensor; Light sensor
bmw 420-gran-coup%C3%A9,61184800,BMW,420 Gran Coupé,Blue,Beige interior,Other interior material,Sedans / saloons,4/5 doors,5,Diesel,Automatic,4x2,140,134,Euro 6,62782,01/02/2020,Used,5.1,33499,0,1995,Bluetooth; USB
citroen c4,61184803,Citroen,C4,Blue,Black interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Automatic,4x2,96,130,Euro 6,7500,01/05/2022,Used,5.4,25749,0,1199,Head-up display; Automatic multi-zone A/C; Navigation system; Traffic sign recognition; Rear parking camera; Automatic lights; Rain sensor; Lane assist; Hill-start assist; Front collision warning system
volkswagen passat,61184792,Volkswagen,Passat,Grey,Black interior,Cloth interior,Station Wagon,4/5 doors,5,Petrol,Automatic,4x2,140,146,Euro 6,15476,01/03/2023,Used,7.2,41449,1,1984,Driver's seat with massage function; Heated rear seats; LED headlights; Digital cockpit; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition
citroen c3,61184804,Citroen,C3,White,Black interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,60,109,Euro 6,25500,01/01/2018,Used,4.6,12899,1,1199,Android auto; Bluetooth; Automatic lights; Rain sensor; Hill-start assist; Autom. dimming side mirros; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; On-board computer
hyundai kona,61184805,Hyundai,Kona,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Electric,Automatic,4x2,150,0,No emission class,28000,01/09/2020,Used,15.4,30999,1,1499,Ventilated front seats; Heated rear seats; LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay; Android auto
renault master,61184793,Renault,Master,White,Black interior,Cloth interior,Cargo VAN,4/5 doors,3,Diesel,Manual,4x2,110,217,Euro 6,1,01/11/2023,Used,8.2,36949,1,2299,Navigation system; Bluetooth; Hill-start assist; Side mirrors with electic adjustment; Daytime running lights; Start-stop system; USB; Front electric windows
bmw 430-gran-coup%C3%A9,61184798,BMW,430 Gran Coupé,Black,Other interior color,Full leather interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x2,180,0,Euro 6d,16300,01/05/2023,Used,5.5,46849,1,1998,Laser headlights; Parking assist system self-steering; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot
volkswagen golf,61184808,Volkswagen,Golf,Black,Black interior,Cloth interior,Station Wagon,4/5 doors,5,Diesel,Manual,4x2,85,109,Euro 6,131034,01/01/2019,Used,4.2,13999,0,1598,LED headlights; Adaptive cruise control; Automatic A/C; Hill-start assist; Front collision warning system; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Electrically heated side mirrors; Leather steering wheel
volkswagen t6-multivan,61184796,Volkswagen,T6 Multivan,Blue,Black interior,Cloth interior,MPV/VAN,4/5 doors,7,Diesel,Automatic,4x4,150,186,Euro 6d-TEMP,19038,01/11/2022,Used,7,63249,1,1968,Digital cockpit; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Voice control; Navigation system; Bluetooth; Induction charging for smartphones; Rain sensor
mini cooper-d-clubman,61184809,MINI,Cooper D Clubman,Blue,Black interior,Other interior material,Station Wagon,4/5 doors,5,Diesel,Automatic,4x2,110,112,Euro 6,68706,01/02/2019,Used,4.3,26199,0,1995,Bluetooth; USB
hyundai tucson,61184802,Hyundai,Tucson,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Diesel,Manual,4x2,85,126,Euro 6,52000,01/05/2019,Used,4.8,20499,0,1598,LED headlights; Digital cockpit; Keyless entry; Integrated music streaming; Keyless ignition; Night vision assist; Voice control; Navigation system; Glare-free high beam headlights; Traffic sign recognition
isuzu d-max,61184799,Isuzu,D-Max,Silver,Other interior color,Other interior material,Pick-up,4/5 doors,5,Diesel,Automatic,4x4,120,195,Euro 6d,10,01/09/2023,Demonstration car,7.4,48599,0,1898,Adaptive cruise control; Heated front seats; Traffic sign recognition; Bluetooth; Rain sensor; Lane assist; Blind spot assist; Front collision warning system; Trailer stability assist (TSA); Multifunctional steering wheel
bmw x4,61184801,BMW,X4,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,140,140,Euro 6,81105,01/10/2018,Used,5.2,40749,0,1995,Heated front seats
volkswagen touran,61184778,Volkswagen,Touran,Grey,Black interior,Cloth interior,MPV,4/5 doors,7,Diesel,Automatic,4x2,110,121,Euro 6,63500,01/07/2017,Used,4.7,25149,0,1968,Bluetooth; USB
volkswagen golf,61184780,Volkswagen,Golf,White,Black interior,Cloth interior,Hatchback,4/5 doors,5,Hybrid,Automatic,4x2,180,109,Euro 6,20825,01/04/2021,Used,4.8,24549,1,1395,LED headlights; Digital cockpit; Keyless entry; Smartphone mirroring; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system; Heated steering wheel
seat tarraco,61184777,Seat,Tarraco,Grey,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,110,138,No emission class,115000,01/08/2020,Used,6,27499,0,1498,Parking assist system self-steering; LED headlights; Keyless entry; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system; Paddle shifters
peugeot expert,61184783,Peugeot,Expert,Grey,Black interior,Cloth interior,Cargo VAN,4/5 doors,3,Diesel,Manual,4x2,90,144,Euro 6,49485,01/07/2018,Used,5.5,26099,0,1997,Navigation system; Bluetooth; Rain sensor; Light sensor; Hill-start assist; Side mirrors with electic adjustment; Daytime running lights; Alarm; Start-stop system; Front electric windows
bmw x3,61184784,BMW,X3,Blue,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Hybrid,Automatic,4x4,215,48,Euro 6,17295,01/07/2021,Used,4.8,59499,0,1998,Bluetooth; USB
peugeot 3008,61184779,Peugeot,3008,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,96,117,Euro 6,55100,01/06/2018,Used,4.9,21099,0,1199,Apple CarPlay; Android auto; Panoramic roof; Navigation system; El. tailgate; Bluetooth; Rear parking camera; Daytime running lights; USB; Alloy wheels
peugeot 308,61184789,Peugeot,308,Blue,Black interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,81,102,Euro 6,58194,01/09/2019,Used,4.3,16399,0,1199,Automatic multi-zone A/C; Automatic lights; Rain sensor; Hill-start assist; Autom. dimming side mirros; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Electrically heated side mirrors; Leather steering wheel
suzuki ignis,61184776,Suzuki,Ignis,Grey,Other interior color,Other interior material,SUV / offroad,4/5 doors,4,Petrol,Manual,4x2,61,89,Euro 6d,18548,01/11/2020,Used,5,16299,1,1197,LED headlights; Heated front seats; Bluetooth; Light sensor; Side mirrors with electic adjustment; On-board computer; Start-stop system; Front electric windows; Alloy wheels
opel astra,61184787,Opel,Astra,Blue,Black interior,Alcantara interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x2,96,0,Euro 6,7794,01/01/2023,Used,4.8,33599,0,1499,Electric adjustable front seats; Adaptive cruise control; Heated front seats; Navigation system; Bluetooth; Induction charging for smartphones; Alcantara interior; Automatic A/C; Lane assist; Blind spot assist
mercedes-benz eqv,61184775,Mercedes-Benz,EQV,White,Black interior,Full leather interior,MPV/VAN,4/5 doors,7,Electric,Automatic,4x2,150,0,Euro 6,82600,01/10/2020,Used,5.534431978,53249,1,1499,Parking assist system self-steering; LED headlights; Adaptive cruise control; Heated front seats; Voice control; Navigation system; Glare-free high beam headlights; Traffic sign recognition; Bluetooth; Adaptive lighting
renault twingo,61184790,Renault,Twingo,Grey,Black interior,Cloth interior,Hatchback,2/3 doors,4,Petrol,Manual,4x2,54,120,Euro 6,26402,01/08/2020,Used,4.4,10899,1,999,Bluetooth; USB
nissan qashqai,61184774,Nissan,Qashqai,White,Black interior,Other interior material,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,116,120,Euro 6d,7300,01/05/2023,Used,5.3,29449,1,1497,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system
ford transit-connect,61184788,Ford,Transit Connect,White,Black interior,Cloth interior,Cargo VAN,2/3 doors,2,Diesel,Automatic,4x2,88,129,Euro 6d-TEMP,110468,01/10/2019,Used,5,18249,1,1499,Voice control; Xenon headlights; High beam assist; Rain sensor; Hill-start assist; Multifunctional steering wheel; Cornering lights; On-board computer; Heated windshield; USB
mercedes-benz s-400,61184782,Mercedes-Benz,S 400,Green,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Diesel,Automatic,4x4,243,0,Euro 6d,37887,01/06/2022,Used,4.8,128849,2,2925,Driver's seat with massage function; Heated rear seats; Air suspension; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Burmester audio
skoda kodiaq,61184786,Skoda,Kodiaq,Blue,Black interior,Part leather interior,SUV / offroad,4/5 doors,7,Petrol,Automatic,4x2,110,143,Euro 6d,15,01/12/2023,New,6.9,40549,1,1498,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Keyless ignition; Voice control
opel zafira,61184785,Opel,Zafira,Silver,Other interior color,Cloth interior,MPV,4/5 doors,5,Diesel,Automatic,4x2,130,143,Euro 6d,20000,01/08/2022,Used,5.4,41599,1,1997,Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay; Android auto; Voice control; Traffic sign recognition; Bluetooth; High beam assist; Rain sensor
peugeot 208,61184770,Peugeot,208,Yellow,Black interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,74,97,Euro 6,125,01/09/2022,Used,5.3,23299,1,1199,Rear parking camera; Rain sensor; Hill-start assist; Automatic parking brake; Front electric windows; Alloy wheels
mercedes-benz e-300,61184765,Mercedes-Benz,E 300,Black,Black interior,Full leather interior,Station Wagon,4/5 doors,5,Hybrid,Automatic,4x2,225,147,Euro 6,69384,01/07/2020,Used,6.4,36049,1,1950,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Front seats with memory; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay
bmw 520,61184771,BMW,520,Black,Black interior,Part leather interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x2,140,113,Euro 6d,36103,01/09/2020,Used,4.3,39349,0,1995,Parking assist system self-steering; LED headlights; Digital cockpit; Electric adjustable front seats; Heated front seats; Apple CarPlay; WLAN/Wifi hotspot; Keyless ignition; Voice control; Navigation system
seat ateca,61184769,Seat,Ateca,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,110,129,Euro 6,53000,01/02/2020,Used,5.7,25749,0,1498,LED headlights; Digital cockpit; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Voice control; Navigation system; Paddle shifters
renault arkana,61184773,Renault,Arkana,Grey,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,Hybrid,Automatic,4x2,105,107,Euro 6d,12,01/12/2023,Demonstration car,4.8,33249,1,1598,LED headlights; Keyless entry; Electric adjustable front seats; Heated front seats; Keyless ignition; Voice control; Navigation system; Paddle shifters; Traffic sign recognition; Automatic A/C
audi q3,61184764,Audi,Q3,Black,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,110,134,Euro 6d-TEMP,29550,01/12/2020,Used,5.9,38399,1,1498,LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control
volvo xc90,61184763,Volvo,XC90,Beige,Black interior,Full leather interior,SUV / offroad,4/5 doors,7,Petrol,Automatic,4x4,184,142,Euro 6,50000,01/01/2022,Used,5.9,61649,0,1969,Heated rear seats; Autonomous driving; LED headlights; Keyless entry; Front seats with memory; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto
mercedes-benz glb-200,61184768,Mercedes-Benz,GLB 200,Black,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x2,110,147,No emission class,23770,01/07/2022,Used,4.8,46749,0,1950,LED headlights; Keyless entry; Adaptive cruise control; Heated front seats; Keyless ignition; Sport front seats; Automatic A/C; Rain sensor; Lane assist; Trailer stability assist (TSA)
opel corsa,61184761,Opel,Corsa,Black,Other interior color,Alcantara interior,Hatchback,4/5 doors,5,Electric,Automatic,4x2,100,0,No emission class,20511,01/05/2021,Used,5.534431978,23499,0,1499,Driver's seat with massage function; LED headlights; Digital cockpit; Electric adjustable front seats; Heated front seats; Apple CarPlay; Android auto; Voice control; Navigation system; Heated steering wheel
bmw x1,61184767,BMW,X1,Black,Grey interior,Cloth interior,SUV / offroad,4/5 doors,5,Diesel,Manual,4x2,120,139,Euro 5,135000,01/03/2012,Used,5.3,11899,1,1995,Navigation system; Automatic A/C; Rain sensor; Multifunctional steering wheel; Side mirrors with electic adjustment; Leather steering wheel; Start-stop system; CD player; AUX; Front electric windows
peugeot boxer,61184760,Peugeot,Boxer,White,Black interior,Cloth interior,Cargo VAN,4/5 doors,3,Diesel,Manual,4x2,110,180,Euro 5,138456,01/10/2013,Used,6.8,11099,0,1560,Voice control; Navigation system; Bluetooth; Multifunctional steering wheel; Side mirrors with electic adjustment; Heated windshield; CD player; USB; Front electric windows; Central locking with remote
volkswagen tiguan,61184753,Volkswagen,Tiguan,Grey,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x2,110,119,Euro 6,69502,01/03/2021,Used,4.5,34199,0,1968,Bluetooth; Xenon headlights; Multifunctional steering wheel; Daytime running lights; Front electric windows; Alloy wheels
land-rover discovery-sport,61184748,Land Rover,Discovery Sport,Grey,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x4,147,176,Euro 6d,15000,01/01/2023,Used,7.9,53149,1,1997,LED headlights; Keyless entry; Electric adjustable front seats; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Navigation system; Heated steering wheel; El. tailgate
skoda scala,61184759,Skoda,Scala,Blue,Other interior color,Other interior material,Hatchback,4/5 doors,5,Petrol,Manual,4x2,66,106,No emission class,26350,01/07/2020,Used,4.6,17449,0,1000,Bluetooth; USB
toyota c-hr,61184751,Toyota,C-HR,Grey,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,Hybrid,Automatic,4x2,135,92,Euro 6,50000,01/03/2021,Used,4,26799,0,1987,Bluetooth; Multifunctional steering wheel; Daytime running lights; Front electric windows; Alloy wheels
cupra leon,61184756,Cupra,Leon,Grey,Other interior color,Full leather interior,Station Wagon,4/5 doors,5,Hybrid,Automatic,4x2,180,115,No emission class,32383,01/11/2021,Used,5,34649,0,1395,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Panoramic roof
skoda scala,61184747,Skoda,Scala,Black,Other interior color,Other interior material,Hatchback,4/5 doors,5,Diesel,Automatic,4x2,85,108,No emission class,98897,01/07/2019,Used,4.1,17949,0,1598,Bluetooth; USB
