,Power,Hybrid type,Range extender,Transmission,Doors,Model,Condition,Battery warranty (km),Mileage,Valid MOT until,Battery capacity,CO2 emissions,El. motor power,First registration,Energy efficiency,Battery type,Country of origin,DC charging time,Emission class,Fuel,Drive type,AC charging time,Secondary drive,Body,Make,Interior color,Engine power,CARNAME,Currency,Weight,Engine capacity,VIN,ID,Tags,Type of finish,Price,Consumption,Full service history,Interior material,Body color,Previous owners,Seats,Warranty until,Electric range
54,80 kW,,,Automatic,4/5 doors,A 180,,,160 000 km,10/2024,,138 g/km,,2/2012,,,,,Euro 5,Diesel,4x2,,,Sedans / saloons,Mercedes-Benz,Black interior,,mercedes-benz a-180,EUR,,1 991 ccm,not published by the seller,61187678,Keyless entry; Heated front seats; Keyless ignition; Navigation system; Paddle shifters; Sport front seats; Traffic sign recognition; Bluetooth; Rain sensor; Light sensor,Metallic,7399,5 l/100km (combined); 7.9 l/100km (city); 5.3 l/100km ,,Part leather interior,Black,2,5,,
55,51 kW,,,Manual,2/3 doors,500C,,,79 998 km,,,116 g/km,,7/2018,,,,,Euro 6,Petrol,4x2,,,Cabriolet,Fiat,Black interior,,fiat 500c,EUR,,1 242 ccm,not published by the seller,61187664,Apple CarPlay; Android auto; Voice control; Navigation system; Bluetooth; Automatic A/C; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights,,10899,5 l/100km (combined); 5.9 l/100km (city); 4.4 l/100km ,,Part leather interior,Red,2,4,,
56,60 kW,,No,Automatic,2/3 doors,ForTwo,,100000 km,21 780 km,,18 kWh,0 g/km,,10/2020,,Lithium-ion (Li-ion),,,No emission class,Electric,4x2,1 h,,Hatchback,Smart,Other interior color,,smart fortwo,EUR,,,not published by the seller,61187665,Bluetooth; Automatic A/C; Hill-start assist; Daytime running lights; On-board computer; Front electric windows; Alloy wheels,,12149,,,Cloth interior,White,1,2,,
57,147 kW,,,Automatic,4/5 doors,Octavia,,,703 km,,,116 g/km,,5/2023,,,,,No emission class,Diesel,4x2,,,Station Wagon,Skoda,Black interior,,skoda octavia,EUR,,1 968 ccm,not published by the seller,61187668,Driver's seat with massage function; Parking assist system self-steering; LED headlights; Digital cockpit; Front seats with memory; Adaptive cruise control; Heated front seats; Head-up display; Panoramic roof; Navigation system,Metallic,49549,4.4 l/100km (combined),,Alcantara interior,Grey,,5,,
58,103 kW,,,Automatic,4/5 doors,Touran,,,132 801 km,,,154 g/km,,2/2013,,,,,Euro 5,Petrol,4x2,,,MPV,Volkswagen,Black interior,,volkswagen touran,EUR,,1 390 ccm,not published by the seller,61187658,Parking assist system self-steering; Heated front seats; Panoramic roof; Navigation system; Automatic 2-zones air conditioning; Adaptive lighting; Xenon headlights; Rain sensor; Light sensor; Hill-start assist,Metallic,12499,6.6 l/100km (combined); 8.5 l/100km (city); 5.6 l/100km ,,Cloth interior,Grey,2,5,,
59,66 kW,,,Automatic,4/5 doors,Clio,,,22 277 km,05/2024,,112 g/km,,5/2021,,,,,Euro 6,Petrol,4x2,,,Hatchback,Renault,Black interior,,renault clio,EUR,,999 ccm,not published by the seller,61187609,LED headlights; Heated front seats; Apple CarPlay; Android auto; Voice control; Navigation system; Sport front seats; Traffic sign recognition; Bluetooth; Light sensor,Metallic,20049,4.9 l/100km (combined); 6 l/100km (city); 4.4 l/100km ,,Cloth interior,Red,,5,,
60,150 kW,,,Automatic,4/5 doors,UX,,,1 101 km,,,0 g/km,,9/2021,,,,,Euro 6d-TEMP,Electric,4x2,,,SUV / offroad,Lexus,Black interior,,lexus ux,EUR,,,not published by the seller,61187508,Ventilated front seats; LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Navigation system,Metallic,33149,0 kWh/100km (combined),,Full leather interior,White,1,5,,
61,140 kW,,,Automatic,4/5 doors,Vito,,,101 700 km,,,153 g/km,,9/2020,,,,,Euro 6d-TEMP,Diesel,4x4,,,Cargo VAN,Mercedes-Benz,Black interior,,mercedes-benz vito,EUR,,1 950 ccm,not published by the seller,61187514,Parking assist system self-steering; LED headlights; Heated front seats; Integrated music streaming; Voice control; Navigation system; Glare-free high beam headlights; Paddle shifters; Bluetooth; Automatic 2-zones air conditioning,Metallic,49949,5.8 l/100km (combined); 6.8 l/100km (city); 5.9 l/100km ,,Part leather interior,Black,1,9+,,
62,147 kW,,,Automatic,4/5 doors,Kodiaq,Used,,25 100 km,,,140 g/km,,5/2023,,,,,Euro 6d,Diesel,4x4,,,SUV / offroad,Skoda,Black interior,,skoda kodiaq,EUR,,1 968 ccm,not published by the seller,61187487,LED headlights; Digital cockpit; Keyless entry; Front seats with memory; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot,Metallic,47899,6.3 l/100km (combined),,Part leather interior,Grey,1,5,,
63,103 kW,,,Manual,4/5 doors,Mokka X,,,75 000 km,,,147 g/km,,3/2018,,,,,Euro 6,Petrol,4x2,,,SUV / offroad,Opel,Black interior,,opel mokka-x,EUR,,1 364 ccm,not published by the seller,61187488,Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Voice control; Navigation system; Heated steering wheel; Bluetooth; Automatic 2-zones air conditioning; High beam assist,,15799,6.5 l/100km (combined),,Cloth interior,White,3,5,,
64,115 kW,,,Automatic,4/5 doors,C 180,,,68 000 km,04/2025,,147 g/km,,2/2020,,,,,Euro 6d-TEMP,Petrol,4x2,,,Station Wagon,Mercedes-Benz,Black interior,,mercedes-benz c-180,EUR,,1 497 ccm,not published by the seller,61187476,LED headlights; Keyless entry; Electric adjustable front seats; Burmester audio; Heated front seats; Keyless ignition; Panoramic roof; Navigation system; El. tailgate; Traffic sign recognition,Metallic,28399,6.5 l/100km (combined); 8.3 l/100km (city); 5.2 l/100km ,,Full leather interior,Silver,1,5,,
65,140 kW,,,Automatic,4/5 doors,Kodiaq,,,79 195 km,,,150 g/km,,1/2017,,,,,Euro 6d,Diesel,4x4,,,SUV / offroad,Skoda,Beige interior,,skoda kodiaq,EUR,,1 968 ccm,not published by the seller,61187468,Ventilated front seats; Heated rear seats; LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition,Metallic,26799,5.8 l/100km (combined); 6.6 l/100km (city); 5.3 l/100km ,,Full leather interior,White,,5,,
66,62 kW,,,Automatic,4/5 doors,Picanto,,,24 689 km,,,135 g/km,,9/2022,,,,,No emission class,Petrol,4x2,,,Hatchback,Kia,Black interior,,kia picanto,EUR,,1 197 ccm,not published by the seller,61187464,Heated front seats; Integrated music streaming; Navigation system; Heated steering wheel; Bluetooth; Induction charging for smartphones; Automatic A/C; Light sensor; Hill-start assist; Multifunctional steering wheel,Metallic,19399,5.9 l/100km (combined),,Cloth interior,Red,1,5,,
67,81 kW,,,Manual,,Master,,,82 000 km,,,207 g/km,,11/2016,,,,,Euro 6,Diesel,4x2,,,Cargo VAN,Renault,Other interior color,,renault master,EUR,,2 299 ccm,not published by the seller,61187456,Central locking with remote; Fixed trailer coupling,Metallic,16349,7.8 l/100km (combined),,Other interior material,Blue,1,3,,
68,103 kW,,,Manual,4/5 doors,Cruze,,,95 395 km,,,132 g/km,,9/2013,,,,,Euro 5,Petrol,4x2,,,Sedans / saloons,Chevrolet,Grey interior,,chevrolet cruze,EUR,,1 364 ccm,not published by the seller,61187435,Navigation system; Bluetooth; Automatic A/C; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Leather steering wheel; On-board computer; CD player; Front electric windows,,9399,5.7 l/100km (combined),,Cloth interior,Black,2,5,,
69,60 kW,,No,Automatic,2/3 doors,ForTwo,,100000 km,20 880 km,,18 kWh,0 g/km,,10/2020,,Lithium-ion (Li-ion),,,No emission class,Electric,4x2,1 h,,Hatchback,Smart,Other interior color,,smart fortwo,EUR,,,not published by the seller,61187440,Bluetooth; Automatic A/C; Hill-start assist; Daytime running lights; On-board computer; Front electric windows; Alloy wheels,,12149,,,Cloth interior,White,1,2,,
70,61 kW,Mild hybrid,No,Manual,4/5 doors,Swift,,,5 km,,,88 g/km,,12/2023,,,,,Euro 6d-TEMP,Petrol,4x2,,,Hatchback,Suzuki,Black interior,,suzuki swift,EUR,,1 197 ccm,not published by the seller,61187430,Parking assist system self-steering; LED headlights; Adaptive cruise control; Heated front seats; Traffic sign recognition; Bluetooth; High beam assist; Light sensor; Blind spot assist; Parking sensors,Metallic,18849,3.9 l/100km (combined); 4.3 l/100km (city); 3.7 l/100km ,,Cloth interior,Black,1,4,,
71,74 kW,,,Manual,2/3 doors,Transit Connect,,,50 km,03/2025,,124 g/km,,3/2023,,,,,Euro 6d,Diesel,4x2,,,Cargo VAN,Ford,Black interior,,ford transit-connect,EUR,,1 499 ccm,not published by the seller,61187414,Voice control; Bluetooth; Adaptive lighting; Rain sensor; Light sensor; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Electrically heated side mirrors,,29899,5.4 l/100km (combined); 4.7 l/100km (city); 4.1 l/100km ,,Cloth interior,White,1,3,,
72,118 kW,,,Automatic,4/5 doors,Tiguan,,,53 097 km,08/2025,,140 g/km,,6/2014,,,,,Euro 5,Petrol,4x2,,,SUV / offroad,Volkswagen,Black interior,,volkswagen tiguan,EUR,,1 390 ccm,not published by the seller,61187406,Parking assist system self-steering; Heated front seats; Paddle shifters; Sport front seats; Automatic A/C; High beam assist; Rain sensor; Light sensor; Hill-start assist; Parking sensors,Metallic,16549,6.1 l/100km (combined); 8.9 l/100km (city); 6 l/100km ,,Cloth interior,Beige,1,5,,
73,75 kW,,,Manual,4/5 doors,308,Used,,154 622 km,,,97 g/km,,2/2019,,,,,Euro 6,Diesel,4x2,,,Hatchback,Peugeot,,,peugeot 308,EUR,,1 499 ccm,not published by the seller,61187411,Keyless ignition; Navigation system; Traffic sign recognition; Bluetooth; Rain sensor; Lane assist; Hill-start assist; Daytime running lights,,12899,3.7 l/100km (combined),,,Black,1,5,12/2024,
74,53 kW,,,Manual,2/3 doors,108,,,34 000 km,06/2024,,85 g/km,,1/2021,,,,,Euro 6c,Petrol,4x2,,,Hatchback,Peugeot,Other interior color,,peugeot 108,EUR,,998 ccm,not published by the seller,61187387,Bluetooth; Hill-start assist; Daytime running lights; On-board computer; Start-stop system; USB; Front electric windows,Metallic,11999,3.7 l/100km (combined); 4.3 l/100km (city); 3.4 l/100km ,,Cloth interior,Grey,2,4,,
75,110 kW,,,Manual,4/5 doors,Kuga,,,10 km,,,125 g/km,,8/2023,,,,,Euro 6d,Petrol,4x2,,,SUV / offroad,Ford,Other interior color,,ford kuga,EUR,,1 496 ccm,not published by the seller,61187386,Heated rear seats; Keyless entry; Heated front seats; Keyless ignition; Voice control; Navigation system; Heated steering wheel; Bluetooth; Automatic 2-zones air conditioning; Rain sensor,,27299,6.6 l/100km (combined),,Cloth interior,White,,5,,
76,220 kW,,No,Automatic,4/5 doors,Enyaq,New,160000 km,10 km,,77 kWh,0 g/km,150 kW,9/2023,,Lithium-ion (Li-ion),,28 min,Euro 6,Electric,4x4,8 h,,SUV / offroad,Skoda,Black interior,,skoda enyaq,EUR,,,not published by the seller,61187364,Driver's seat with massage function; Heated rear seats; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay,Metallic,58449,0 kWh/100km (combined),,Full leather interior,White,,5,,
77,110 kW,,,Automatic,4/5 doors,T6 California,New,,100 km,,,179 g/km,,9/2023,,,,,Euro 6d,Diesel,4x2,,,Cargo VAN,Volkswagen,Grey interior,,volkswagen t6-california,EUR,,1 968 ccm,not published by the seller,61187362,LED headlights; Adaptive cruise control; Heated front seats; Integrated music streaming; Bluetooth; High beam assist; Rain sensor; Light sensor; Hill-start assist; Multifunctional steering wheel,Metallic,66949,6.9 l/100km (combined); 10.2 l/100km (city); 6.9 l/100km ,,Cloth interior,Grey,,5,,
78,51 kW,Mild hybrid,No,Manual,2/3 doors,500,Demonstration car,,6 000 km,09/2024,,88 g/km,,9/2021,,,,,Euro 6,Petrol,4x2,,,Hatchback,Fiat,Black interior,,fiat 500,EUR,,999 ccm,not published by the seller,61187361,Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; On-board computer; Start-stop system; USB; Front electric windows; Central locking with remote,Metallic,15299,4.7 l/100km (combined); 5.2 l/100km (city); 3.1 l/100km ,,Cloth interior,Grey,2,4,,
79,150 kW,,,Automatic,4/5 doors,Land Cruiser,New,,50 km,,,206 g/km,,9/2023,,,,,Euro 6d,Diesel,4x4,,,SUV / offroad,Toyota,Black interior,,toyota land-cruiser,EUR,,2 755 ccm,not published by the seller,61187371,LED headlights; Keyless entry; Electric adjustable front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Navigation system; Traffic sign recognition; Bluetooth,Metallic,80299,7.6 l/100km (combined),,Full leather interior,Black,,5,,
80,220 kW,,No,Automatic,4/5 doors,Enyaq,New,160000 km,10 km,,77 kWh,0 g/km,150 kW,9/2023,,Lithium-ion (Li-ion),,28 min,Euro 6,Electric,4x4,8 h,,SUV / offroad,Skoda,Black interior,,skoda enyaq,EUR,,,not published by the seller,61187364,Driver's seat with massage function; Heated rear seats; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay,Metallic,58449,0 kWh/100km (combined),,Full leather interior,White,,5,,
81,150 kW,,,Automatic,4/5 doors,Land Cruiser,New,,50 km,,,206 g/km,,9/2023,,,,,Euro 6d,Diesel,4x4,,,SUV / offroad,Toyota,Black interior,,toyota land-cruiser,EUR,,2 755 ccm,not published by the seller,61187371,LED headlights; Keyless entry; Electric adjustable front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Navigation system; Traffic sign recognition; Bluetooth,Metallic,80299,7.6 l/100km (combined),,Full leather interior,Black,,5,,
82,51 kW,Mild hybrid,No,Manual,2/3 doors,500,Demonstration car,,6 000 km,09/2024,,88 g/km,,9/2021,,,,,Euro 6,Petrol,4x2,,,Hatchback,Fiat,Black interior,,fiat 500,EUR,,999 ccm,not published by the seller,61187361,Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; On-board computer; Start-stop system; USB; Front electric windows; Central locking with remote,Metallic,15299,4.7 l/100km (combined); 5.2 l/100km (city); 3.1 l/100km ,,Cloth interior,Grey,2,4,,
83,150 kW,,,Automatic,4/5 doors,Land Cruiser,,,22 689 km,,,206 g/km,,8/2022,,,,,No emission class,Diesel,4x4,,,SUV / offroad,Toyota,Black interior,,toyota land-cruiser,EUR,,2 755 ccm,not published by the seller,61187347,Ventilated front seats; Heated rear seats; LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming,Metallic,76399,7.6 l/100km (combined); 9 l/100km (city); 6.8 l/100km ,,Full leather interior,Black,1,5,,
84,90 kW,,,Automatic,4/5 doors,Astra,,,49 978 km,12/2024,,109 g/km,,1/2021,,,,,Euro 6d,Diesel,4x2,,,Sedans / saloons,Opel,Black interior,,opel astra,EUR,,1 496 ccm,not published by the seller,61187356,Parking assist system self-steering; LED headlights; Electric adjustable front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Voice control; Navigation system; Sport front seats; Traffic sign recognition,Metallic,20049,4.2 l/100km (combined); 5.3 l/100km (city); 3.5 l/100km ,,Part leather interior,Black,1,5,,
85,103 kW,,,Automatic,4/5 doors,218 Active Tourer,,,82 298 km,,,132 g/km,,1/2021,,,,,No emission class,Petrol,4x2,,,MPV,BMW,Grey interior,,bmw 218-active-tourer,EUR,,1 499 ccm,not published by the seller,61187311,Parking assist system self-steering; LED headlights; Keyless entry; Adaptive cruise control; Heated front seats; Head-up display; WLAN/Wifi hotspot; Integrated music streaming; Keyless ignition; Voice control,Metallic,23599,5.8 l/100km (combined); 7.1 l/100km (city); 5 l/100km ,,Cloth interior,Grey,1,5,,
86,110 kW,,,Automatic,4/5 doors,Tiguan,,,9 850 km,,,130 g/km,,1/2021,,,,,Euro 6d,Petrol,4x2,,,SUV / offroad,Volkswagen,Black interior,,volkswagen tiguan,EUR,,1 498 ccm,not published by the seller,61187324,LED headlights; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Integrated music streaming; Heated steering wheel; Paddle shifters; Bluetooth,,32699,5.7 l/100km (combined); 6.5 l/100km (city); 5.2 l/100km ,,Cloth interior,Grey,1,5,,
87,110 kW,,,Automatic,4/5 doors,Touran,New,,19 km,,,146 g/km,,9/2023,,,,,Euro 6d,Petrol,4x2,,,MPV,Volkswagen,Grey interior,,volkswagen touran,EUR,,1 498 ccm,not published by the seller,61187331,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Integrated music streaming; Keyless ignition,,42649,6.5 l/100km (combined); 6.1 l/100km (city); 5.1 l/100km ,,Alcantara interior,Grey,,7,,
88,110 kW,,,Automatic,4/5 doors,318,,,100 000 km,,,0 g/km,,7/2019,,,,,Euro 6d,Diesel,4x2,,,Sedans / saloons,BMW,Black interior,,bmw 318,EUR,,1 995 ccm,not published by the seller,61187316,LED headlights; Digital cockpit; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Voice control; Navigation system; Glare-free high beam headlights; Traffic sign recognition,,24649,5.2 l/100km (city); 3.6 l/100km ,,Cloth interior,Black,1,5,,
89,96 kW,,,Manual,4/5 doors,3008,Used,,38 922 km,,,106 g/km,,11/2018,,,,,Euro 6,Diesel,4x2,,,SUV / offroad,Peugeot,,,peugeot 3008,EUR,,1 499 ccm,not published by the seller,61187309,Heated front seats; Keyless ignition; Navigation system; Traffic sign recognition; Bluetooth; Rain sensor; Hill-start assist; Daytime running lights,,25249,4 l/100km (combined),,,White,1,5,12/2024,
90,96 kW,,,Automatic,4/5 doors,Kadjar,,,63 000 km,10/2024,,123 g/km,,8/2017,,,,,Euro 6,Petrol,4x2,,,SUV / offroad,Renault,Black interior,,renault kadjar,EUR,,1 197 ccm,not published by the seller,61187307,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Bose audio; Heated front seats; Keyless ignition; Panoramic roof; Voice control,Metallic,17949,5.5 l/100km (combined); 6.9 l/100km (city); 5.2 l/100km ,,Full leather interior,Black,2,5,,
91,96 kW,,,Automatic,4/5 doors,C4,Demonstration car,,45 000 km,,,100 g/km,,8/2021,,,,,Euro 6d-TEMP,Diesel,4x2,,,Hatchback,Citroen,Other interior color,,citroen c4,EUR,,1 499 ccm,not published by the seller,61187289,LED headlights; Keyless entry; Heated front seats; Head-up display; Keyless ignition; Navigation system; Heated steering wheel; Traffic sign recognition; Bluetooth; Automatic A/C,,26799,3.8 l/100km (combined); 4.2 l/100km (city); 3.6 l/100km ,,Other interior material,White,2,5,,
92,55 kW,,,Automatic,4/5 doors,Yaris,,,42 750 km,,,75 g/km,,9/2017,,,,,Euro 6,Hybrid,4x2,,,Hatchback,Toyota,Black interior,,toyota yaris,EUR,,1 497 ccm,not published by the seller,61187286,Keyless entry; Keyless ignition; Panoramic roof; Traffic sign recognition; Bluetooth; Automatic A/C; High beam assist; Rain sensor; Light sensor; Lane assist,Metallic,16749,3.3 l/100km (combined); 3.1 l/100km (city); 3.3 l/100km ,,Cloth interior,Blue,3,5,,
